"http",5,24,33,20
"collège",74,4,1,3
"séance",81,0,1,0
"non",38,15,7,21
"y",26,13,20,22
"important",47,5,17,12
"capacité",38,9,17,17
"heure",72,1,6,2
"encore",29,8,30,13
"période",13,8,34,25
"local",16,11,22,31
"dynamique",3,26,31,20
"nombreux",23,7,26,23
"entrée",39,11,14,15
"document",23,23,13,20
"Afrique",0,2,42,35
"règle",73,0,3,3
"article",69,0,6,3
"religieux",11,0,17,50
"très",14,4,30,29
"aller",11,12,30,24
"fin",23,12,22,20
"souligner",40,8,14,15
"proposition",76,0,1,0
"enseignement",29,13,19,16
"constituer",27,10,25,14
"contexte",17,9,31,19
"depuis",14,16,30,16
"chacun",51,9,13,3
"consacrer",18,3,32,22
"région",7,27,26,15
"n",25,14,17,19
"croissance",0,0,20,55
"organisation",16,11,26,22
"durable",5,7,14,47
"production",31,8,19,15
"fois",17,11,24,21
"cela",48,7,7,11
"particulier",33,8,15,17
"élection",60,5,7,1
"connaître",38,6,18,10
"pourquoi",43,10,12,7
"sens|sen",29,8,25,9
"moins",27,6,20,18
"vote",44,13,14,0
"occasion",22,13,20,15
"part",14,4,24,28
"caractère",51,4,5,10
"lutte",56,0,5,9
"trois",15,8,24,22
"afin",51,4,9,5
"voir",31,6,20,12
"mode",32,3,12,21
"collectif",54,1,7,6
"publique",47,7,10,4
"manière",16,12,19,21
"façon",63,1,2,2
"amener",51,1,11,5
"pauvreté",0,0,13,55
"limite",57,4,2,5
"fr",8,21,21,17
"organiser",43,4,11,9
"fondamental",50,4,7,6
"définition",59,2,1,5
"plusieurs",21,6,27,13
"donc",33,5,10,18
"réfléchir",56,3,7,0
"réaliser",38,9,14,5
"face",27,10,11,18
"perspective",6,13,17,29
"condition",22,3,21,19
"troisième",26,26,13,0
"texte",37,7,10,11
"interroger",35,10,11,9
"activité",19,7,18,21
"démographique",1,1,5,58
"médias",60,0,3,2
"vers",8,7,23,26
"éviter",10,19,7,28
"association",51,0,8,5
"tel",25,4,11,24
"image",19,5,25,15
"universel",41,7,11,5
"finalité",62,2,0,0
"autrui",63,0,1,0
"moyen",18,3,16,26
"régime",25,21,17,0
"rendre",17,8,19,19
"devenir",13,6,24,20
"origine",24,3,20,16
"spatial",2,16,30,15
"analyser",36,7,6,14
"notre",45,7,4,7
"conflit",2,26,13,21
"Histoire",7,18,17,20
"aujourd'hui",29,4,12,17
"flux",2,0,56,3
"conduire",22,8,19,12
"www",3,22,22,14
"objet",43,6,8,4
"cur",35,2,13,10
"ordre",14,3,18,25
"conquête",25,3,13,19
"exprimer",49,2,5,4
"global",5,6,13,36
"analyse",22,8,14,16
"différence",51,1,6,2
"support",14,4,25,16
"particulièrement",18,13,14,14
"régional",3,21,22,13
"évidence",23,2,13,21
"empire",2,3,10,44
"expliquer",37,4,7,11
"pauvre",0,0,17,42
