universel,7,11,5
finalité,2,0,0
autrui,0,1,0
moyen,3,16,26
régime,21,17,0
rendre,8,19,19
devenir,6,24,20
origine,3,20,16
spatial,16,30,15
analyser,7,6,14
notre,7,4,7
conflit,26,13,21
Histoire,18,17,20
aujourd'hui,4,12,17
flux,0,56,3
conduire,8,19,12
www,22,22,14
objet,6,8,4
cur,2,13,10
ordre,3,18,25
conquête,3,13,19
exprimer,2,5,4
global,6,13,36
analyse,8,14,16
différence,1,6,2
support,4,25,16
particulièrement,13,14,14
régional,21,22,13
évidence,2,13,21
empire,3,10,44
expliquer,4,7,11
pauvre,0,17,42
vivre,7,6,10
suffrage,5,11,0
loin,8,21,21
engager,1,9,3
intérêt,4,16,6
mobilité,15,38,3
aménagement,40,7,9
niveau,1,12,26
stéréotype,1,0,0
essentiel,2,6,24
documentation,15,22,19
Louis,1,25,30
justice,1,5,3
mener,4,6,6
dignité,0,0,1
mobiliser,5,10,8
système,7,17,23
changement,3,11,36
individu,5,6,5
parmi,9,21,13
nombre,2,12,21
santé,2,0,38
respecter,0,3,1
inviter,3,16,3
civique,7,6,5
avant,4,12,6
connaissance,5,7,6
maritime,8,38,8
XIXe,2,32,1
mesure,2,10,12
la,1,13,8
utiliser,3,10,13
nécessaire,3,5,9
domaine,9,13,10
union,46,1,1
école,0,6,10
colonial,3,47,1
échange,3,28,14
aspect,15,13,13
marquer,7,21,23
affaire,3,18,1
élément,3,13,8
souvent,4,18,18
territorial,17,13,17
chaque,3,9,8
exercice,3,3,3
antisémitisme,0,0,1
concret,10,9,18
puis,3,14,11
nation,3,19,10
individuel,2,7,6
conscience,1,5,6
importance,2,8,15
savoir,4,7,10
dossier,6,14,5
roi,0,14,35
historique,7,22,10
ensuite,1,11,8
traite,0,41,9
traiter,14,11,8
critique,2,10,2
responsabilité,0,2,3
participer,1,7,4
États-Unis,8,36,6
dernier,3,18,13
source,2,12,24
industriel,6,33,10
technologique,7,8,15
accès,2,1,32
prise,1,9,12
établissement,3,1,1
numérique,4,3,3
évoquer,12,9,12
photographique,11,21,15
peuple,2,8,2
enfin,5,7,3
mouvement,7,23,8
environnement,6,6,21
lors,3,9,6
professionnel,5,9,5
moral,6,8,3
penser,1,9,8
après,8,15,7
commun,3,6,7
début,2,16,14
cycle,9,12,16
exercer,5,5,4
repère,15,17,10
EMC,4,1,0
phénomène,5,28,12
transformation,10,18,14
lumière,1,39,2
science,3,14,11
limiter,6,14,16
confronter,4,9,8
compte,5,10,10
inscrire,5,16,12
fonctionnement,1,2,5
lycée,7,8,5
reposer,4,2,5
environ,0,22,17
