"le";-0.05259;0.45821;-0.01227;0.05344;-0.00439;0.01141
"de";-0.02959;0.09142;-0.02325;0.12085;0.01059;0.04184
"du";0.03249;0.06088;-0.07353;0.66724;0.00523;0.00564
"et";-0.0076;0.00256;0.06334;0.38164;0.09187;1.33947
"un";0.0063;0.00111;-0.01862;0.02082;-0.00547;0.003
"à";0.11985;0.36845;-0.03743;0.07693;-0.03339;0.10213
"être";-0.0827;0.15879;0.05897;0.17285;-0.01642;0.02234
"en";0.03237;0.02305;0.0688;0.22288;-0.08492;0.56654
"@card@";-0.40988;3.19257;-0.05848;0.13914;-0.15905;1.71687
"dans";-0.00975;0.00148;0.00026;0;-0.05031;0.14118
"au";0.01957;0.00573;0.03435;0.03782;-0.00835;0.00373
"ce";0.05113;0.03107;0.04837;0.05954;-0.07188;0.21935
"sur";0.02296;0.00477;-0.07854;0.1194;-0.0206;0.0137
"par";-0.08007;0.06879;-0.08902;0.18199;0.0129;0.00638
"que";-0.18513;0.31044;0.01543;0.00462;-0.05029;0.08181
"pouvoir";-0.10543;0.09199;0.11909;0.25126;0.05597;0.09258
"se";-0.10463;0.10345;0.05882;0.06999;-0.0627;0.13268
"pour";-0.04863;0.01768;-0.19475;0.60718;-0.02004;0.01073
"qui";-0.24499;0.57164;-0.09633;0.1892;0.03594;0.04393
"ou";0.28141;0.62673;-0.10014;0.1699;0.14745;0.61456
"il";-0.22083;0.2612;0.04073;0.01902;0.00907;0.00157
"son";-0.35438;0.81251;-0.12678;0.22261;0.14336;0.47493
"élève";0.15425;0.06372;0.44171;1.11859;0.23068;0.50904
"avec";-0.06829;0.02351;0.15668;0.2649;0.10944;0.2156
"permettre";0.06048;0.01568;0.44249;1.79734;0.01914;0.00561
"leur";0.23695;0.23147;-0.14254;0.17931;0.12628;0.23483
"thème";-0.00895;0.00056;0.44739;3.01067;-0.04166;0.04355
"avoir";-0.14639;0.09995;0.16587;0.27471;-0.14153;0.33369
"plus";0.09025;0.04106;-0.12368;0.16504;-0.09486;0.16201
"liberté";-0.84736;0.32409;0.22687;0.04973;-0.14677;0.03473
"faire";-0.21006;0.15469;0.08882;0.0592;-0.00365;0.00017
"étude";0.25356;0.32212;-0.05007;0.02689;-0.00982;0.00173
"ne";-0.35097;0.57268;-0.04073;0.01651;0.05612;0.05229
"comme";-0.16983;0.10025;0.02211;0.00364;-0.05827;0.04215
"elle";-0.14005;0.07142;-0.05887;0.02702;-0.04153;0.02243
"entre";0.11958;0.05271;-0.00967;0.00074;-0.10382;0.14191
"politique";-0.35677;0.46154;0.03422;0.00909;0.10449;0.1414
"droit";-0.78565;0.46435;0.30209;0.14697;-0.26987;0.19569
"on";-0.0677;0.01938;0.10538;0.10051;-0.17717;0.47399
"pas";-0.27452;0.25171;0.00774;0.00043;0.09072;0.09819
"question";0.11451;0.03512;0.18382;0.19373;-0.08872;0.07529
"mais";0.02638;0.00214;0.07678;0.03873;-0.18344;0.36888
"tout";-0.1138;0.03371;-0.10245;0.05849;0.01246;0.00144
"autre";0.16777;0.05548;-0.35051;0.51839;-0.08969;0.05663
"grand";0.22222;0.2021;-0.08725;0.06669;0.06438;0.06059
"celui";-0.20616;0.12406;0.11631;0.08454;0.07432;0.05758
"professeur";0.19337;0.02701;-0.09056;0.01268;0.56053;0.81047
"monde";0.19316;0.14765;0.0743;0.04677;-0.2771;1.08524
"société";-0.00555;8e-05;0.12323;0.08902;-0.11246;0.12369
"mettre";0.09317;0.02403;0.10464;0.06489;-0.03983;0.01568
"exemple";0.12137;0.04743;-0.17073;0.20091;-0.03939;0.01784
"expression";-0.51124;0.09438;-0.60401;0.28202;0.29456;0.1119
"devoir";0.16839;0.06015;-0.04645;0.0098;-0.11798;0.10547
"représentation";-0.58625;0.18616;-0.3425;0.13602;0.45112;0.39371
"développement";0.82178;2.36746;-0.23137;0.40175;-0.12484;0.19515
"siècle";-0.85688;2.35305;0.06493;0.02892;0.04288;0.02105
"classe";0.17711;0.05286;0.82014;2.42646;-0.02206;0.00293
"espace";0.74435;1.97567;0.24948;0.47511;0.37169;1.75956
"territoire";0.98818;3.46736;0.28266;0.60733;0.43304;2.37832
"comprendre";0.00985;0.00016;0.43893;0.68881;0.06787;0.02747
"aborder";-0.08196;0.01577;0.44086;0.97659;-0.10583;0.09389
"premier";-0.15008;0.05185;0.39637;0.77426;-0.03132;0.00807
"programme";-0.01943;0.00093;-0.1555;0.12695;0.01908;0.00319
"différent";0.23364;0.10266;0.20133;0.16319;0.02531;0.0043
"pays";0.86311;2.47711;-0.5922;2.49638;-0.60652;4.36892
"aussi";-0.07714;0.01083;0.33953;0.44929;0.06406;0.02669
"la|le";-0.2715;0.14196;-0.06012;0.0149;-0.04431;0.01351
"France";-0.1538;0.06121;0.27715;0.42553;-0.04551;0.01914
"ainsi";0.07067;0.00977;0.15885;0.10566;-0.21644;0.32729
"mondial";0.58952;1.09809;-0.04242;0.01217;-0.20348;0.46727
"échelle";1.02536;2.65754;0.10783;0.06292;0.17378;0.27265
"temps";-0.426;0.33585;-0.33657;0.44878;0.09272;0.05682
"social";-0.20441;0.08676;-0.07334;0.02391;0.00235;4e-05
"nouveau";-0.20917;0.10072;0.15453;0.11768;-0.06977;0.04002
"histoire";-0.71573;1.22549;-0.37007;0.70139;0.46838;1.87449
"européen";-5e-04;0;0.38495;0.85914;0.17798;0.30641
"lien";0.31383;0.15115;0.3282;0.35389;0.17617;0.17012
"travail";-0.06225;0.00327;0.09408;0.01596;0.04118;0.0051
"démocratie";-0.73625;0.22021;1.09501;1.04275;-0.77999;0.88275
"loi";-0.8117;0.35687;0.62732;0.45632;-0.49017;0.46483
"français";-0.1008;0.02003;0.27665;0.32294;0.11264;0.08932
"mondialisation";0.9083;2.37087;-0.15767;0.15293;-0.16244;0.27084
"culture";-0.21709;0.04963;-0.19982;0.09003;0.01847;0.00128
"national";-0.03139;0.00132;-0.17684;0.08965;0.14075;0.09475
"deux";-0.11191;0.02619;-0.09146;0.03745;-0.08672;0.05618
"cas";0.86515;1.76807;-0.23622;0.28218;-0.19963;0.33623
"discrimination";1.21551;0.02223;0.87028;0.02439;1.14105;0.06997
"ressource";0.83393;1.01495;0.16572;0.08581;0.15837;0.13074
"même";-0.28181;0.14817;-0.17911;0.12812;-0.0548;0.02001
"égalité";-0.2298;0.01192;0.33703;0.05488;-0.35851;0.10361
"œuvre";-0.51674;0.65085;-0.43681;0.99561;0.4981;2.15993
"également";0.28112;0.07015;-0.03575;0.00243;-0.3399;0.3663
"partir";-0.24566;0.10442;0.10395;0.04002;-0.17536;0.19005
