  ;facteur;NA;NA;
fort;0.624;0.375;0.001
humain;0.963;0.036;0.001
porter;0.766;0.221;0.013
majeur;0.898;0.087;0.014
représentant;0.514;0.04;0.446
où;0.078;0.139;0.783
construction;0.096;0.481;0.424
urbain;0.58;0.046;0.374
pratique;0.437;0.447;0.116
quelque;0.086;0.302;0.613
effet;0.944;0.001;0.055
pédagogique;0.256;0.635;0.109
rapport;0.72;0.276;0.004
dimension;0.003;0.161;0.836
culturel;0.131;0.207;0.662
projet;0.506;0.085;0.409
identifier;0.928;0.001;0.072
alors;0.666;0.126;0.208
terme;0.198;0.748;0.054
identité;0.41;0.314;0.276
sous;0.106;0.795;0.099
sein;0.786;0.029;0.185
respect;0.062;0.781;0.157
métropole;0.968;0.029;0.002
principal;0.412;0.411;0.178
crise;0.665;0.275;0.061
présenter;0.655;0.013;0.332
selon;0.453;0.523;0.024
État;0.607;0.029;0.364
objectif;0.701;0.166;0.133
démocratique;0.108;0.604;0.289
démarche;0.88;0.12;0
http;0.019;0.978;0.003
collège;0.205;0.754;0.041
séance;0.449;0.263;0.288
non;0.353;0.028;0.619
y;0.002;0.093;0.905
important;0.01;0.066;0.924
capacité;0.807;0.043;0.151
heure;0.086;0.524;0.39
encore;0.394;0.275;0.33
période;0.827;0.142;0.031
local;0.866;0.133;0.001
dynamique;0.717;0.158;0.125
nombreux;0.826;0.139;0.035
entrée;0.067;0.674;0.258
document;0.338;0.015;0.647
Afrique;0.108;0.458;0.434
règle;0;0.852;0.148
article;0.674;0.246;0.079
religieux;0.993;0.007;0.001
très;0.682;0.318;0
aller;0.075;0.925;0
fin;0.925;0;0.075
souligner;0.975;0.024;0.002
proposition;0.449;0.263;0.288
enseignement;0.095;0.901;0.004
constituer;0.77;0.038;0.192
contexte;0.174;0.66;0.166
depuis;0.622;0.113;0.265
chacun;0.332;0.143;0.526
consacrer;0.172;0.809;0.018
région;0.99;0.01;0.001
n;0.195;0.739;0.066
croissance;0.809;0.17;0.021
organisation;0.335;0.543;0.122
durable;0.976;0.024;0
production;0.234;0.393;0.373
fois;0.47;0.138;0.391
cela;0.602;0.398;0
particulier;0.386;0.169;0.445
élection;0.329;0.427;0.244
connaître;0.216;0.537;0.247
pourquoi;0.028;0.785;0.187
sens|sen;0.296;0.305;0.399
moins;0.767;0.082;0.151
vote;0.25;0.469;0.281
occasion;0.211;0.215;0.574
part;0.036;0.962;0.002
caractère;0.362;0.153;0.484
lutte;0.54;0.399;0.06
trois;0.524;0.433;0.043
afin;0.446;0.06;0.495
voir;0.736;0.15;0.114
mode;0.892;0.012;0.096
collectif;0.841;0.143;0.016
publique;0.16;0.422;0.418
manière;0.13;0.85;0.02
façon;0.281;0.692;0.027
amener;0.972;0.018;0.01
pauvreté;0.693;0.165;0.142
limite;0.007;0.83;0.162
fr;0.05;0.948;0.001
organiser;0.134;0.506;0.36
fondamental;0.117;0.295;0.588
définition;0.03;0.429;0.541
plusieurs;0.5;0.103;0.397
donc;0.61;0.198;0.191
réfléchir;0.027;0.03;0.943
réaliser;0.776;0.121;0.102
face;0.509;0.308;0.183
perspective;0.841;0.135;0.024
condition;0.284;0.001;0.716
troisième;0.91;0.015;0.075
texte;0.577;0.132;0.291
interroger;0.652;0.072;0.276
activité;0.567;0.433;0
démographique;0.91;0.035;0.055
médias;0.538;0.247;0.215
vers;0.011;0.006;0.983
éviter;0.126;0.807;0.067
association;0.028;0.031;0.941
tel;0.69;0.148;0.162
image;0.337;0.38;0.283
universel;0.162;0.41;0.427
finalité;0.009;0.002;0.99
autrui;0.449;0.263;0.288
moyen;0.033;0.75;0.217
régime;0.968;0.032;0.001
rendre;0.699;0.008;0.293
devenir;0.677;0.028;0.294
origine;0.025;0.894;0.081
spatial;0.779;0.092;0.13
analyser;0.205;0.751;0.044
notre;0.078;0.677;0.245
conflit;0.155;0.546;0.299
Histoire;0.521;0.249;0.23
aujourd'hui;0.965;0.033;0.002
flux;0.939;0.047;0.014
conduire;0.733;0.045;0.222
www;0.118;0.859;0.023
objet;0.593;0.29;0.117
cur;0.131;0.197;0.672
ordre;0.942;0.05;0.008
conquête;0.769;0.13;0.101
exprimer;0.001;0.002;0.998
global;0.694;0.099;0.207
analyse;0.995;0.003;0.002
différence;0.001;0.265;0.734
support;0.442;0.316;0.242
particulièrement;0.918;0.081;0.001
régional;0.906;0.026;0.068
évidence;0.994;0.005;0.001
empire;0.547;0.292;0.161
expliquer;0.589;0.4;0.01
pauvre;0.347;0.329;0.324
vivre;0.156;0.008;0.836
suffrage;0.29;0.448;0.262
loin;0.035;0.965;0
engager;0.144;0.583;0.274
intérêt;0.583;0.098;0.319
mobilité;0.669;0.106;0.225
aménagement;0.665;0.099;0.236
niveau;0.666;0.138;0.196
stéréotype;0.449;0.263;0.288
essentiel;0.164;0.708;0.129
documentation;0.031;0.966;0.003
Louis;0.945;0.009;0.045
justice;0.083;0.054;0.862
mener;0.023;0.956;0.021
dignité;0.196;0.496;0.308
mobiliser;0.843;0.071;0.085
système;0.122;0.872;0.006
changement;0.407;0.273;0.32
individu;0.878;0;0.122
parmi;0.062;0.866;0.072
nombre;0.684;0.186;0.129
santé;0.496;0.265;0.238
respecter;0.502;0.495;0.003
%;0.026;0.9;0.074
inviter;0.168;0.788;0.044
civique;0.777;0.04;0.184
avant;0.681;0.185;0.134
connaissance;0.012;0.113;0.875
maritime;0.487;0.337;0.176
XIXe;0.788;0.161;0.051
mesure;0.088;0.329;0.583
la;0.745;0.054;0.201
utiliser;0.844;0.002;0.154
nécessaire;0.678;0.164;0.158
domaine;0.296;0.083;0.621
union;0.57;0.241;0.189
école;0.14;0.047;0.813
colonial;0.859;0.122;0.019
échange;0.226;0.195;0.579
aspect;0.362;0.157;0.48
marquer;0.212;0.383;0.405
affaire;0.654;0.31;0.035
élément;0.357;0.468;0.175
souvent;0.649;0.019;0.332
territorial;0.512;0.081;0.407
chaque;0.048;0.656;0.296
exercice;0.643;0.142;0.215
antisémitisme;0.449;0.263;0.288
concret;0.004;0.049;0.947
puis;0.706;0.065;0.229
nation;0.161;0.479;0.36
individuel;0.02;0.889;0.091
conscience;0.024;0.542;0.434
importance;0.379;0.588;0.033
savoir;0.517;0.449;0.034
dossier;0.004;0.939;0.057
roi;0.988;0.001;0.011
historique;0.491;0.075;0.434
ensuite;0.434;0.319;0.248
traite;0.973;0.027;0
traiter;0.581;0.122;0.298
critique;0.189;0.325;0.486
responsabilité;0.155;0.074;0.771
participer;0.271;0.496;0.234
États-Unis;0.728;0.002;0.27
dernier;0.218;0.108;0.674
source;0.725;0.242;0.033
industriel;0.253;0.739;0.007
technologique;0.057;0.94;0.004
accès;0.869;0.098;0.033
prise;0.159;0.055;0.786
établissement;0.499;0.05;0.451
numérique;0.222;0.736;0.042
évoquer;0.016;0.776;0.208
photographique;0.011;0.982;0.007
peuple;0.963;0.004;0.033
enfin;0.942;0.038;0.02
mouvement;0.26;0.094;0.646
environnement;0.88;0.078;0.042
lors;0.711;0.006;0.283
professionnel;0.116;0.78;0.104
moral;0.058;0.293;0.65
penser;0;0.852;0.148
après;0.979;0.021;0
commun;0.141;0.623;0.236
début;0.75;0.138;0.113
cycle;0.057;0.934;0.009
exercer;0.05;0.743;0.207
repère;0.218;0.656;0.126
EMC;0.196;0.496;0.308
phénomène;0.632;0.286;0.082
transformation;0.005;0.988;0.007
lumière;0.916;0.064;0.02
science;0.723;0;0.277
limiter;0.035;0.027;0.937
confronter;0.19;0.223;0.587
compte;0.001;0.699;0.3
inscrire;0.931;0.049;0.019
fonctionnement;0.981;0.01;0.008
lycée;0.038;0.958;0.005
reposer;0.179;0.376;0.445
environ;0.056;0.923;0.021
XVIIIe;0.879;0.037;0.085
envisager;0.451;0;0.549
offrir;0.369;0.003;0.628
seul;0.978;0.001;0.02
cause;0.646;0.197;0.157
sujet;0.996;0.004;0
religion;0.401;0.044;0.555
jusque;0.855;0.145;0
inégal;0.919;0.001;0.08
public;0.051;0.037;0.912
militaire;0.951;0.043;0.006
représentatif;0.791;0.001;0.207
républicain;0.966;0.029;0.004
cependant;0.063;0.034;0.903
réalité;0.007;0.011;0.982
considérer;0.17;0.829;0.001
chercher;0.063;0.937;0
écrire;0.45;0.444;0.106
commerce;0.845;0.11;0.045
besoin;0.898;0.097;0.005
paysage;0.637;0.097;0.266
fonder;0.972;0.012;0.016
divers;0.313;0.232;0.455
récit;0.838;0.005;0.156
personnel;0.122;0.404;0.474
fonction;0.046;0.364;0.59
concerner;0.05;0.711;0.239
handicap;0.277;0.357;0.366
tension;0.731;0.003;0.266
Paris;0.356;0.557;0.087
abord;0.64;0.19;0.17
centre;0.986;0.006;0.008
eux;0.158;0.767;0.075
alimentaire;0.566;0.209;0.225
trouver;0.864;0.04;0.096
agricole;0.954;0.041;0.005
mieux;0.192;0.11;0.698
prévention;0.949;0.006;0.046
processus;0.033;0.95;0.018
entreprise;0.203;0.354;0.443
riche;0.362;0.429;0.209
acquérir;0.036;0.438;0.526
moment;0.72;0.208;0.072
5e;0.542;0.307;0.15
répondre;0.678;0.177;0.145
eau;0.867;0.088;0.045
parfois;0.518;0.467;0.014
citoyenneté;0.097;0.732;0.171
cours|cour;0.477;0;0.523
raison;0.448;0.406;0.145
rester;0.12;0.078;0.802
communauté;0.231;0.651;0.118

