" 3_2015_Geo";0.0077;0.00102;0.55728;9.65302;-0.30529;3.22561;0.88844;31.75125;0.21093;2.19382;-0.12464;1.05712;-0.02312;0.04071;0.29401;8.00887;0.1077;1.26524;-0.1243;1.88801
" 3_2015_His";-0.386;4.02814;0.017;0.01408;-0.25255;3.45931;0.49272;15.30396;0.34403;9.14594;0.44378;21.00245;0.08789;0.92196;0.15704;3.58074;0.21413;7.83823;0.14805;4.19721
" 3_2025_Geo";0.22267;3.77041;0.48318;31.98551;0.10064;1.54504;0.20747;7.63217;-0.21622;10.16103;-0.1465;6.43799;-0.09196;2.83887;-0.04291;0.75203;-0.14367;9.92539;0.05374;1.55566
" 3_2025_His";-0.30216;7.12974;0.0472;0.31341;0.44796;31.43528;-0.00797;0.01158;0.27477;16.85085;0.16109;7.99362;-0.2026;14.15013;-0.12636;6.69573;-0.09756;4.69968;-0.01759;0.17108
" 4_2015_Geo";0.26769;7.70324;0.11601;2.60663;-0.21521;9.98848;-0.28377;20.18425;0.27978;24.05047;-0.01051;0.04681;0.04957;1.16599;0.13166;10.00775;-0.14126;13.56382;-0.00907;0.06264
" 4_2015_His";-0.35421;20.16108;-0.07146;1.47859;-0.16596;8.87838;0.04431;0.73574;-0.02479;0.28223;-0.06825;2.95263;0.13908;13.72283;-0.14374;17.83111;-0.05518;3.09431;-0.11451;14.92343
" 4_2025_Geo";0.33331;8.9093;0.3151;14.34599;0.00047;4e-05;-0.20638;7.96408;-0.02341;0.12564;0.10873;3.73965;0.07449;1.96435;-0.19173;15.83143;0.27317;37.8412;-0.02002;0.22764
" 4_2025_His";-0.29618;7.59426;-0.02976;0.13811;0.32488;18.3303;-0.09212;1.71291;0.03638;0.32756;-0.26421;23.83924;0.17102;11.17891;0.1443;9.68148;0.11602;7.36821;0.13615;11.36641
" 5_2015_Geo";0.34488;15.53082;-0.35083;28.95581;-0.04867;0.62055;0.11026;3.70138;0.07522;2.11167;-0.14967;11.53869;-0.1727;17.19295;-0.04083;1.16926;0.07698;4.89332;-0.01771;0.29003
" 5_2015_His";-0.21991;5.00434;-0.07439;1.0318;-0.25057;13.03369;-0.09818;2.32586;-0.20154;12.01368;0.08877;3.21661;-0.12564;7.21111;-0.01333;0.09875;-0.03223;0.6799;0.22516;37.15993
" 5_2025_Geo";0.49242;17.7142;-0.26796;9.4507;0.24413;8.73459;0.16355;4.55655;-0.16638;5.78039;0.2222;14.22774;0.26492;22.63436;0.0327;0.41943;-0.12134;6.80186;0.02277;0.26841
" 5_2025_His";-0.17239;2.45343;-0.01331;0.02634;0.06724;0.74874;-0.1463;4.12027;-0.26807;16.95673;0.1101;3.94743;-0.13837;6.97783;0.24181;25.92341;0.06234;2.02883;-0.21839;27.88955
