"le";-0.04701;0.3567;-0.01971;0.11301;-0.00995;0.03206;-0.00113;0.00048;-0.01841;0.15632;-0.01076;0.07368;-0.01719;0.21055;0.00561;0.02726;-0.00985;0.09893;0.00303;0.01051
"de";-0.02291;0.05353;-0.01533;0.04316;-0.03608;0.26621;-0.01427;0.04839;-0.01057;0.03252;0.02238;0.20141;-0.00546;0.0134;0.00545;0.01628;0.00926;0.05531;0.00146;0.00153
"du";0.04584;0.11832;-0.03613;0.13243;-0.06343;0.45436;-0.04967;0.32381;-0.00428;0.00295;-0.02917;0.18898;0.01292;0.04148;-0.01862;0.10482;-0.04078;0.59191;0.00931;0.03454
"et";0.00313;0.00042;0.03104;0.0754;0.02009;0.03516;-0.0353;0.12619;-0.07838;0.76238;0.09586;1.57382;0.00703;0.00948;-0.04091;0.39025;0.00453;0.00564;0.03715;0.42445
"un";0.01677;0.00771;-0.05873;0.17049;0.00982;0.00531;0.03135;0.0629;0.03576;0.1003;0.05911;0.37821;-0.00878;0.00933;-0.00115;0.00019;-0.01463;0.03716;0.0279;0.15126
"à";0.13277;0.44232;-0.05035;0.1146;-0.01228;0.0076;-0.0041;0.00098;0.01166;0.00974;-0.01462;0.02117;0.00417;0.00193;0.02558;0.08815;-0.03527;0.19734;-0.02174;0.084
"être";-0.08324;0.15742;-0.01482;0.00899;0.04157;0.07874;-0.05412;0.15515;-0.06669;0.28878;-0.05627;0.28376;-0.03206;0.1031;-0.01516;0.02802;0.03699;0.1966;-0.03447;0.19116
"en";0.02004;0.00868;-0.01233;0.00592;0.09286;0.37389;-0.04157;0.08709;0.02159;0.02879;-0.07788;0.5171;-0.02203;0.04632;-0.02731;0.08658;0.03437;0.16141;-0.07137;0.77977
"@card@";-0.45892;3.88826;-0.05681;0.10736;0.03398;0.04277;0.11616;0.58082;0.28975;4.43012;-0.00434;0.00137;0.02351;0.04506;0.01972;0.03854;0.00316;0.00117;-0.08785;1.00925
"dans";-0.00599;0.00055;-0.03136;0.02702;0.02988;0.02731;-0.03552;0.04487;0.02362;0.02432;-0.02472;0.03676;-0.06547;0.28858;-0.04024;0.13262;-0.00884;0.00753;-0.02465;0.06563
"au";0.03289;0.01583;-0.03611;0.03438;0.03904;0.04475;-0.05651;0.10901;-0.03435;0.04936;-0.00446;0.00115;-0.0056;0.00203;-0.01994;0.03126;-0.00203;0.00038;-0.01251;0.01623
"ce";0.05546;0.03593;0.02154;0.00977;0.00822;0.00158;-0.09284;0.23473;-0.06975;0.16241;-0.05029;0.11653;-0.0482;0.11982;0.09398;0.55406;-0.00034;1e-05;-0.02238;0.04145
"sur";0.01542;0.0021;-0.0025;1e-04;-0.06636;0.07784;0.05649;0.06557;0.07763;0.1518;-0.01729;0.01039;0.08486;0.28017;0.07237;0.24786;0.00156;0.00014;0.01561;0.0152
"par";-0.05565;0.0321;-0.02355;0.01036;-0.09071;0.17111;-0.09973;0.2404;0.03396;0.03417;0.05745;0.13498;-0.07526;0.25917;-0.07162;0.28555;0.00847;0.0047;0.00873;0.00559
"que";-0.16034;0.22696;-0.07596;0.09177;0.02055;0.00748;-0.10101;0.21002;0.00443;5e-04;0.06846;0.16321;-0.06307;0.15501;-0.00219;0.00023;0.00075;3e-05;0.00894;0.005
"pouvoir";-0.10099;0.08256;0.05485;0.04389;-0.00656;7e-04;0.03536;0.0236;-0.16462;0.62708;0.09624;0.29581;-0.01058;0.004;0.15787;1.08364;0.13612;0.94857;0.02174;0.02711
"se";-0.09056;0.07509;0.01937;0.00619;0.03359;0.02073;-0.09972;0.2123;-0.05361;0.07521;-0.00494;0.00088;-0.0204;0.01683;0.11104;0.60625;-0.08018;0.37224;-0.03399;0.07493
"pour";-0.05431;0.02172;-0.09408;0.11744;-0.18108;0.48441;0.14305;0.35138;0.01242;0.00324;-0.0643;0.12011;-0.02334;0.01771;0.03824;0.05783;0.02854;0.03791;-0.01787;0.01666
"qui";-0.21493;0.42919;-0.09187;0.14129;-0.13253;0.32735;-0.11694;0.29622;-0.14782;0.58025;-0.07151;0.18742;-0.051;0.10668;-0.02161;0.0233;-0.03346;0.06576;0.02768;0.05043
"ou";0.27423;0.58634;0.07706;0.08343;-0.15551;0.37828;0.07278;0.0963;-0.05681;0.07192;0.02772;0.02364;0.01708;0.01004;-0.03395;0.04827;0.06343;0.19834;0.11667;0.75174
"il";-0.22197;0.2561;-0.06849;0.04393;0.03561;0.01323;-0.00599;0.00044;-0.07971;0.0944;-0.08146;0.13605;0.11323;0.29422;-0.00438;0.00054;-0.02223;0.01624;-0.18057;1.20052
"son";-0.31658;0.62875;-0.03937;0.01752;-0.23799;0.7128;-0.13704;0.27469;-0.21553;0.83297;0.02619;0.01698;0.04094;0.04641;0.03103;0.03245;-0.0794;0.2501;0.04171;0.07731
"élève";0.1297;0.04473;0.22617;0.24503;0.29307;0.45811;0.03807;0.00899;-0.2683;0.54705;0.25196;0.66582;0.08415;0.08312;0.00057;0;-0.04465;0.03352;0.0175;0.00577
"avec";-0.07315;0.02637;0.09256;0.07609;0.04221;0.01762;-0.04713;0.02553;-0.23794;0.79762;0.00781;0.00119;0.04065;0.03596;-0.01701;0.00766;-0.00614;0.00117;-0.17994;1.13042
"permettre";0.0674;0.01893;0.06266;0.02948;0.40272;1.35583;-0.05032;0.0246;-0.18253;0.39683;0.02175;0.00777;0.18602;0.63663;0.14915;0.49785;0.01647;0.00715;0.00359;0.00038
"leur";0.21102;0.18091;0.19921;0.29048;-0.22346;0.40699;-0.27896;0.73718;0.13785;0.22066;0.03771;0.02279;0.15974;0.45767;-0.10727;0.25109;-0.02278;0.01333;0.09736;0.27276
"thème";-0.08632;0.05175;0.25607;0.82054;0.37473;1.95653;0.1141;0.21082;-0.02355;0.01101;0.0924;0.23393;0.01323;0.00537;0.08922;0.29691;0.05997;0.15793;-0.09317;0.42706
"avoir";-0.15344;0.10726;-0.0324;0.00862;0.17311;0.27386;0.02404;0.00614;-0.05791;0.04367;-0.06981;0.08758;-0.07843;0.1237;0.09804;0.23518;0.04578;0.06037;-0.10626;0.36433
"plus";0.09367;0.04338;-0.02196;0.0043;-0.1335;0.17677;-0.11107;0.14221;0.05781;0.04723;-0.09086;0.161;-0.10727;0.25113;-0.05543;0.08159;0.16152;0.81564;-0.06768;0.16042
"liberté";-0.9281;0.36025;-0.20148;0.03059;0.45465;0.17343;-0.08923;0.00776;0.12903;0.0199;-0.56312;0.52314;0.46765;0.40378;-0.12941;0.03762;0.05554;0.00816;-0.20479;0.12423
"faire";-0.22945;0.18008;0.05647;0.01965;0.02651;0.00482;0.13639;0.14835;-0.12305;0.14803;0.01496;0.00302;-0.06973;0.07342;0.13021;0.31147;-0.00105;2e-05;-0.05288;0.06774
"étude";0.30145;0.44656;-0.19475;0.33582;0.01846;0.00336;0.03322;0.01265;-0.0651;0.05953;-0.06096;0.07205;-0.08699;0.16418;-0.08294;0.18156;0.14525;0.6556;0.09511;0.3149
"ne";-0.35247;0.56411;-0.11742;0.11279;-0.02472;0.00556;0.03032;0.00973;-0.10362;0.13934;-0.08433;0.12739;-0.02504;0.01257;-0.14116;0.48595;-0.03396;0.03311;-0.10346;0.34428
"comme";-0.16669;0.09296;-0.00957;0.00055;0.05717;0.02194;-0.10892;0.09255;-0.00253;6e-05;-0.14945;0.29479;0.04337;0.02778;0.08655;0.1346;-0.11737;0.29147;0.09774;0.22639
"elle";-0.17305;0.10735;0.08751;0.04946;-0.10316;0.07653;-0.26187;0.57321;0.11114;0.12655;-0.06724;0.06394;0.12282;0.23873;-0.05304;0.05417;-0.07995;0.1449;-0.15525;0.61204
"entre";0.15783;0.09004;-0.10076;0.06612;-0.02899;0.0061;-0.00448;0.00017;-0.20079;0.41653;-0.0781;0.08697;-0.25555;1.04214;0.08717;0.14749;-0.01575;0.00567;-0.13896;0.49437
"politique";-0.38318;0.50661;-0.01595;0.00158;0.12738;0.1123;0.14107;0.16012;0.05237;0.02704;-0.0528;0.03794;0.06437;0.06312;-0.09528;0.16823;-0.08396;0.15382;0.17898;0.78287
"droit";-0.82081;0.47298;-0.0851;0.00916;0.56521;0.44991;-0.1931;0.06103;0.30718;0.18934;0.02666;0.00197;-0.17973;0.10012;-0.21177;0.16908;-0.225;0.22473;-0.06019;0.01801
"on";-0.06069;0.01529;-0.06192;0.02868;0.11724;0.1145;-0.16499;0.26356;0.0545;0.03525;-0.05902;0.05706;-0.11767;0.25384;0.00305;0.00021;0.20354;1.08779;0.00707;0.00147
"pas";-0.30074;0.29721;-0.03126;0.00579;0.03001;0.00594;0.03204;0.00787;-0.07564;0.05374;-0.07812;0.07911;-0.05971;0.05172;-0.23322;0.95989;-0.07243;0.109;-0.07082;0.11672
"question";0.11095;0.03162;-0.05938;0.01632;0.31738;0.51915;0.35024;0.73484;0.11685;0.10027;-0.00331;0.00011;0.10793;0.13213;0.17836;0.43894;0.12266;0.24444;0.15937;0.46218
"mais";0.02576;0.00199;0.04599;0.01144;0.08533;0.04385;-0.19301;0.26079;0.00331;9e-05;-0.11807;0.16509;-0.10803;0.15469;0.11542;0.2148;-0.12685;0.30549;-0.02337;0.01161
"tout";-0.09867;0.02428;-0.02489;0.00278;-0.08633;0.03729;-0.00556;0.00018;0.09886;0.06968;0.03754;0.01387;-0.01523;0.00256;0.01652;0.00366;0.06737;0.07158;0.12212;0.26348
"autre";0.20291;0.07994;-0.11738;0.0482;-0.32033;0.39971;-0.04849;0.01064;0.16889;0.15831;0.05357;0.02198;-0.08619;0.06369;0.15754;0.25881;-0.03054;0.01145;0.24144;0.80175
"grand";0.19379;0.15146;0.20278;0.29877;-0.20243;0.33153;-0.16073;0.24294;0.0249;0.00715;-0.03193;0.01622;-0.02557;0.01164;-0.09506;0.19573;0.21289;1.15573;0.04552;0.05919
"celui";-0.19226;0.10656;-0.05966;0.01848;0.07114;0.02927;0.00341;8e-05;-0.20598;0.3496;-0.00479;0.00026;-0.01286;0.00211;0.06794;0.07146;-0.0139;0.00352;0.19496;0.77611
"professeur";0.28693;0.05903;-0.12893;0.02147;-0.21483;0.06638;-0.00228;1e-05;-0.42051;0.36236;0.31347;0.27791;0.26882;0.22873;-0.2093;0.16867;-0.03208;0.00467;0.31761;0.51228
"monde";0.1999;0.15697;0.05583;0.02206;0.06379;0.03207;-0.2915;0.77832;0.13142;0.19392;0.08024;0.09976;-0.27025;1.26659;0.08762;0.16195;-0.00701;0.00122;-0.01936;0.01043
