  ;facteur;NA;NA;NA;NA;NA;NA;NA;NA;NA;
la|le;0.741;0.027;0.02;0.047;0.014;0;0.093;0.004;0;0.006
France;0.125;0.271;0.051;0.342;0.002;0.14;0.002;0.042;0.004;0
ainsi;0.031;0.002;0.145;0.234;0.096;0;0.057;0.099;0.156;0.154
mondial;0.312;0.096;0;0.026;0.459;0.104;0;0;0.001;0.001
échelle;0.838;0.109;0.001;0.002;0.001;0.004;0.031;0.002;0.009;0
temps;0.267;0.179;0.248;0.04;0.064;0.001;0.024;0.006;0.1;0.055
social;0.072;0.141;0.008;0.232;0.011;0.002;0.007;0.106;0.016;0.207
nouveau;0.243;0.175;0.103;0.084;0.066;0.006;0.03;0.017;0.235;0.041
histoire;0.544;0.003;0.202;0.036;0.018;0.032;0.012;0.116;0.024;0.002
européen;0.048;0.435;0.054;0.23;0.022;0.121;0.014;0;0.061;0.005
lien;0.216;0.365;0.033;0.001;0.194;0.094;0.019;0;0.049;0.009
travail;0.043;0.184;0.006;0.219;0.012;0;0.046;0.209;0.189;0.085
démocratie;0.138;0;0.55;0.002;0.177;0.012;0.041;0.023;0.018;0.006
loi;0.197;0.002;0.5;0.019;0.066;0.087;0.003;0.021;0.018;0.075
français;0.093;0.39;0.046;0.401;0.01;0.039;0.002;0.002;0.012;0.005
mondialisation;0.217;0.214;0.06;0.325;0.138;0.003;0.035;0.005;0;0.003
culture;0.152;0;0.214;0.11;0;0.14;0.172;0.009;0.001;0.086
national;0.04;0.144;0.046;0.078;0.001;0.366;0.071;0.048;0.073;0.13
deux;0.031;0.14;0.027;0.041;0.068;0;0.258;0.366;0;0.068
cas;0.717;0.09;0;0.019;0.016;0.039;0.047;0.03;0.035;0.002
discrimination;0.097;0.156;0;0.086;0.001;0.041;0.021;0.172;0.411;0.002
ressource;0.445;0.192;0.07;0.075;0.012;0.065;0.081;0.001;0;0.002
même;0.309;0.001;0.205;0.014;0.009;0.076;0.004;0.045;0;0.26
égalité;0.146;0.026;0.273;0.134;0.07;0.318;0.001;0.002;0;0.002
œuvre;0.291;0.044;0.217;0.02;0.018;0.002;0.097;0.221;0.069;0.013
