  ;facteur;NA;NA;NA;NA;
donner;0.107;0.433;0.154;0.033;0.273
comment;0.035;0.817;0.142;0.001;0.006
puissance;0.169;0.311;0.354;0;0.166
prendre;0.221;0.244;0.107;0.23;0.198
groupe;0.029;0.136;0.701;0.024;0.11
enjeu;0.002;0.258;0.201;0.02;0.518
rôle;0.153;0.002;0.291;0.546;0.007
partie;0.018;0.669;0.225;0.059;0.029
compétence;0.361;0.538;0.01;0.091;0
réflexion;0.03;0.203;0.345;0.252;0.169
si;0.317;0.001;0.051;0.502;0.129
homme;0.357;0.119;0.09;0.209;0.226
étudier;0.509;0.001;0.119;0.122;0.248
agir;0.008;0.041;0.229;0.685;0.036
ensemble;0.545;0.339;0.029;0;0.086
population;0.344;0.204;0.394;0.051;0.007
éducation;0.433;0.025;0.22;0.161;0.162
séquence;0.699;0.228;0.064;0.004;0.005
violence;0.05;0.551;0.358;0.031;0.01
ville;0.001;0.034;0.072;0.047;0.846
certain;0.602;0.256;0.036;0.092;0.014
inégalité;0.146;0.298;0.187;0.285;0.084
sans;0.021;0.564;0.064;0.152;0.2
proposer;0.764;0.001;0.007;0.058;0.171
révolution;0.012;0.037;0.782;0.16;0.008
développer;0.38;0.078;0.472;0.049;0.021
année;0.814;0.129;0.044;0;0.013
États;0.232;0.004;0.077;0.122;0.566
montrer;0.004;0.575;0.305;0.09;0.026
lier;0;0.37;0.039;0.091;0.5
opinion;0;0.781;0.054;0.005;0.16
autour;0.672;0.176;0.122;0.015;0.016
problématique;0.394;0.043;0.106;0.445;0.012
idée;0.023;0.436;0.435;0.013;0.093
parcours;0.489;0.434;0.025;0.049;0.003
presse;0.023;0.099;0.689;0.111;0.078
bien;0.014;0.725;0.018;0.024;0.218
général;0.006;0.005;0.788;0.055;0.147
appuyer;0.18;0.139;0.026;0.603;0.052
travers;0.495;0.321;0.102;0.082;0
acteur;0.03;0.036;0.576;0.194;0.164
engagement;0.135;0.257;0.022;0.586;0.001
fait;0.001;0.012;0.443;0.538;0.006
valeur;0.323;0.4;0.021;0.128;0.129
lui;0.098;0.174;0.242;0.486;0
information;0.035;0.007;0.786;0.151;0.021
approche;0.565;0.038;0.127;0;0.27
relation;0.662;0.011;0.082;0.136;0.11
lequel;0.201;0;0.226;0.281;0.292
réseau;0.049;0.001;0.531;0.007;0.412
second;0.632;0.015;0.207;0.113;0.034
carte;0.003;0.58;0.095;0.145;0.176
évolution;0.33;0.072;0.483;0;0.115
point;0.206;0.001;0.537;0.22;0.036
construire;0.483;0.019;0.261;0.236;0.001
international;0.323;0.377;0.186;0.01;0.104
risque;0.422;0.229;0.342;0.006;0.002
poser;0.241;0.696;0.003;0.058;0.002
définir;0.476;0.01;0.141;0.029;0.344
racisme;0.04;0.007;0.748;0.085;0.119
géographie;0;0.414;0.448;0.036;0.102
diversité;0.396;0.24;0.016;0.239;0.109
représenter;0.445;0.014;0.001;0.334;0.206
fort;0.028;0.618;0.005;0.348;0
humain;0.584;0.246;0.036;0.002;0.131
porter;0.125;0.746;0.056;0.072;0.001
majeur;0.041;0.814;0.066;0.01;0.069
représentant;0.304;0;0.024;0.281;0.391
où;0.066;0.235;0.42;0.032;0.248
construction;0.428;0.003;0.089;0.265;0.215
urbain;0.527;0.081;0.01;0.059;0.323
pratique;0.131;0.574;0.003;0.014;0.277
quelque;0.173;0.13;0.513;0.001;0.184
effet;0.024;0.172;0.012;0;0.792
pédagogique;0.141;0.28;0.371;0.001;0.206
rapport;0.469;0.037;0.046;0.015;0.433
dimension;0.011;0.138;0.284;0.085;0.482
culturel;0;0.061;0.722;0.008;0.209
projet;0.384;0.076;0.006;0.216;0.318
identifier;0.003;0.001;0.114;0.828;0.055
alors;0.158;0.007;0.062;0.001;0.772
terme;0.021;0.799;0.02;0.146;0.015
identité;0.006;0.132;0.362;0.31;0.19
sous;0.09;0.373;0.376;0.132;0.03
sein;0.086;0.092;0.011;0.001;0.81
respect;0.332;0.257;0.264;0.023;0.125
métropole;0.248;0.214;0.488;0.049;0.001
principal;0.486;0.316;0.073;0.069;0.055
crise;0.543;0.003;0.021;0.223;0.21
présenter;0.006;0.4;0.272;0.024;0.297
selon;0.505;0.078;0.27;0.057;0.09
État;0.481;0.21;0.001;0.05;0.258
objectif;0.002;0;0.021;0.964;0.013
démocratique;0.658;0.033;0.009;0.239;0.061
démarche;0.283;0.497;0.026;0.157;0.038
http;0.01;0.844;0.091;0.035;0.019
collège;0.057;0.34;0.599;0;0.003
séance;0.033;0.26;0.418;0.033;0.256
non;0.011;0.018;0.654;0.196;0.121
y;0.002;0.006;0.096;0.693;0.202
important;0.03;0.199;0.299;0.353;0.118
capacité;0.004;0.102;0.148;0.515;0.231
heure;0.088;0.273;0.308;0.033;0.298
encore;0.208;0.033;0.285;0.41;0.064
période;0.003;0.127;0.029;0.641;0.2
local;0.009;0.477;0.103;0.204;0.207
dynamique;0.9;0.077;0.018;0.002;0.004
nombreux;0.554;0.011;0.105;0.261;0.069
entrée;0.225;0.069;0.21;0.415;0.081
document;0.051;0.343;0.496;0.086;0.024
Afrique;0.2;0.021;0.199;0.081;0.498
règle;0.53;0.032;0.119;0.212;0.108
article;0.002;0.093;0.33;0.043;0.531
religieux;0.749;0.156;0.092;0.004;0
très;0.457;0.017;0.136;0.039;0.351
aller;0.161;0.824;0.014;0;0.002
fin;0;0.086;0.002;0.777;0.134
souligner;0.006;0.011;0.171;0.17;0.642
proposition;0.033;0.26;0.418;0.033;0.256
enseignement;0.399;0.457;0.007;0.069;0.068
constituer;0.141;0.189;0.452;0.02;0.198
contexte;0.157;0.516;0.179;0.147;0
depuis;0.589;0.117;0.17;0.125;0
chacun;0.068;0.745;0.034;0.15;0.002
consacrer;0.416;0.164;0.264;0.094;0.061
région;0.493;0.259;0.077;0.13;0.041
n;0.051;0.748;0.148;0.003;0.05
croissance;0.111;0.351;0.087;0.419;0.032
organisation;0.077;0.57;0.014;0.011;0.328
durable;0.167;0.498;0.251;0.012;0.072
production;0.141;0.825;0.003;0.001;0.03
fois;0.047;0.434;0.133;0.075;0.312
cela;0.016;0.177;0.092;0.455;0.26
particulier;0.04;0.374;0.248;0.107;0.23
élection;0.606;0.1;0.074;0.092;0.129
connaître;0.162;0.047;0.052;0.039;0.699
pourquoi;0.619;0.298;0;0.013;0.069
sens|sen;0.023;0.484;0.183;0.017;0.294
moins;0.083;0.599;0.276;0.004;0.039
vote;0.747;0.083;0.044;0.087;0.038
occasion;0.518;0.296;0.011;0.167;0.007
part;0.915;0.038;0.002;0.021;0.023
caractère;0.081;0.026;0.45;0.272;0.171
lutte;0.255;0.447;0.022;0.234;0.042
trois;0.271;0.487;0.016;0.145;0.081
afin;0.427;0.255;0.235;0.006;0.077
voir;0.109;0.29;0.571;0.03;0.001
mode;0.417;0.285;0.051;0.099;0.147
collectif;0.176;0.336;0.245;0.237;0.006
publique;0.106;0.612;0.002;0.024;0.255
manière;0.21;0.77;0.008;0.008;0.005
façon;0.068;0.54;0.137;0.246;0.009
amener;0;0.071;0.611;0.291;0.027
pauvreté;0.783;0.077;0.118;0.021;0.001
limite;0.218;0.206;0.316;0.249;0.012
fr;0.005;0.764;0.157;0.03;0.043
organiser;0.16;0.073;0.151;0.503;0.114
fondamental;0.277;0.482;0.026;0.049;0.166
définition;0.131;0.043;0.199;0.597;0.03
plusieurs;0.088;0.083;0.293;0.535;0.001
donc;0.571;0.003;0.177;0.017;0.232
réfléchir;0.517;0.003;0.445;0.022;0.013
réaliser;0.441;0.287;0;0.165;0.107
face;0.051;0.368;0.281;0.028;0.272
perspective;0.186;0.092;0.698;0.019;0.005
condition;0.049;0.005;0.008;0.021;0.917
troisième;0.262;0.418;0.188;0.04;0.092
texte;0.032;0.636;0.214;0.058;0.06
interroger;0.271;0.104;0.258;0.151;0.215
activité;0.35;0.018;0.007;0.589;0.036
démographique;0.212;0.38;0.252;0.148;0.009
médias;0.398;0.064;0.35;0.102;0.085
vers;0.127;0.141;0.039;0.358;0.335
éviter;0;0.121;0.629;0.037;0.213
association;0.061;0.051;0.311;0;0.577
tel;0.785;0.003;0.126;0.038;0.048
image;0.224;0.51;0.122;0.067;0.076
universel;0.334;0.13;0.051;0.184;0.302
finalité;0.287;0.335;0.368;0.001;0.009
autrui;0.033;0.26;0.418;0.033;0.256
moyen;0.46;0.031;0.005;0.145;0.359
régime;0.672;0.296;0.03;0.002;0
rendre;0.225;0;0.007;0.008;0.761
devenir;0.091;0.159;0.184;0.187;0.379
origine;0.381;0.013;0.319;0.234;0.053
spatial;0.631;0.197;0.036;0.032;0.104
analyser;0.086;0.466;0.256;0.182;0.01
notre;0.386;0.481;0.103;0.003;0.027
conflit;0.403;0.11;0.152;0.334;0.001
Histoire;0.013;0.67;0.225;0.053;0.04
aujourd'hui;0.271;0.149;0.028;0.068;0.484
flux;0.01;0.027;0.826;0.089;0.048
conduire;0.028;0.07;0.31;0.011;0.58
www;0.001;0.774;0.143;0.047;0.036
objet;0.165;0.674;0.07;0.015;0.076
cur;0.059;0.245;0.233;0.425;0.039
ordre;0.828;0.051;0.008;0.101;0.012
conquête;0.532;0;0.007;0.425;0.036
exprimer;0.001;0.073;0.309;0.617;0
global;0.046;0.239;0.151;0.378;0.185
